,Tweets,Tweets_ID,Date,Source,Likes_no,Retweets_no
0,RT @JM_Goldstein: Time to put eyestalks on grandma. Submit your @TikTok_US Effect House Dungeons &amp; Dragons: Honor Among Thieves Challenge f…,1545200850670260225,2022-07-08 00:19:25+00:00,Twitter Web App,0,14
1,fill in the blank: #TikTokTaughtMe the best hack for ___,1545107346405335040,2022-07-07 18:07:52+00:00,Sprinklr Publishing,100,9
2,"fill in the blank:
i was today years old when I learned ___ on TikTok #TikTokTaughtMe",1544441239038177282,2022-07-05 22:01:00+00:00,Sprinklr Publishing,109,8
3,"RT @TikTokComms: We're bringing back summer reading like it's never been done before! Starting today, we're encouraging our community to di…",1542245630130565120,2022-06-29 20:36:26+00:00,Twitter Web App,0,19
4,"every main character needs an effect with sound. now you can make your own in #EffectHouse! 

check out the latest… https://t.co/d9wQUdZUdP",1541889404318384134,2022-06-28 21:00:55+00:00,Sprinklr Publishing,88,15
5,Imagine a goal so good the puck doesn’t even leave the net https://t.co/5f6BG0SWr6,1541530973623398400,2022-06-27 21:16:39+00:00,Twitter Web App,73,4
6,"✍️ ""you don’t need millions of followers to be seen or heard, you just need to be yourself""✍️- @v_ness
@VidCon… https://t.co/3PM818krnF",1540858551534362624,2022-06-26 00:44:41+00:00,Twitter Web App,119,14
7,RT @tiktokcreators: Look who stopped by the #TikTokVidCon Creator Atrium! Congratulations to @KhabyLame on all your accomplishments 👑 https…,1540858219026780160,2022-06-26 00:43:21+00:00,Twitter Web App,0,14
8,RT @TikTokComms: https://t.co/chUiSUxKP5,1540430805029179392,2022-06-24 20:24:58+00:00,Twitter Web App,0,57
9,"RT @TikTokComms: @v_ness, TikTok COO, spent the afternoon meeting with TikTok creators at @VidCon discussing the impact they have on the co…",1540159054915416064,2022-06-24 02:25:08+00:00,Twitter for iPhone,0,10
10,the next 3️⃣ days are all about the creators! who did you come to see? 👀 @VidCon #TikTokVidCon,1540055845039472640,2022-06-23 19:35:00+00:00,Sprinklr Publishing,83,8
11,"from FYP to IRL: cool connections are happening this week @VidCon 😎 
which creators are you most excited to see? 👇 #TikTokVidCon",1539744510414135296,2022-06-22 22:57:53+00:00,Sprinklr Publishing,57,3
12,RT @TikTokComms: Check out the full TikTok @VidCon 2022 Schedule here 👇 https://t.co/3jMabj88Di,1539707081384550400,2022-06-22 20:29:09+00:00,Twitter Web App,0,6
13,RT @VidCon: IT'S #VCUS22 DAY 1!!!!!!!!!!!!!!!!!!!!!!!!!! https://t.co/nsKjpCLSfV,1539706656488972289,2022-06-22 20:27:27+00:00,Twitter Web App,0,18
14,they’re a 10 but they send me TikToks I’ve already seen,1539689697013747712,2022-06-22 19:20:04+00:00,Twitter for iPhone,294,19
15,"@OVOSound @Drake honestly, i’m not gonna sleep tonight",1537588616108441601,2022-06-17 00:11:07+00:00,Twitter for iPhone,20,1
16,"RT @tiktokcreators: “For You, Paige” is now up For Your Emmy® Consideration! Congrats to the incredible team and to our talented group of c…",1537577699962519552,2022-06-16 23:27:45+00:00,Twitter Web App,0,15
17,A #RENAISSANCE IS COMING 🐝 https://t.co/oU57IMYKXv,1537499955442569216,2022-06-16 18:18:49+00:00,Twitter for iPhone,167,23
18,"have you ever wanted to design your own TikTok effect? with the newest version of #EffectHouse, you can now add aud… https://t.co/tCA7v61t68",1537490985168650241,2022-06-16 17:43:10+00:00,Sprinklr Publishing,61,8
19,#TikTokTaughtMe there's still so much to learn 💡🧠  Learn more on TikTok: https://t.co/uAq2jQHkeW https://t.co/78om3IY4rW,1536815897658249219,2022-06-14 21:00:37+00:00,Sprinklr Publishing,96,10
20,what’s something you learned on TikTok that you didn’t learn in college? 👇 https://t.co/40KDr0A1MA,1536771273702842368,2022-06-14 18:03:18+00:00,Twitter Web App,91,7
21,what’s the coolest thing you’ve learned on TikTok? 👀#TikTokTaughtMe,1536477695344771075,2022-06-13 22:36:43+00:00,Sprinklr Publishing,107,5
22,don’t miss out on the fun! join us at the LA Pride Parade by watching @zayaperysian and @alexchapmannn LIVE at 11am… https://t.co/woPhKMYw7Q,1536000380923961348,2022-06-12 15:00:02+00:00,Sprinklr Publishing,72,6
23,Los Angeles! you’re invited to celebrate #Pride with TikTok 😎🌴🏳️‍🌈 join us June 11 &amp; 12  🎉 @lapride #ForYourPride https://t.co/2xJ3kdN2yp,1534992702391173123,2022-06-09 20:15:53+00:00,Sprinklr Publishing,90,12
24,@NBA @YouTubeTV @celtics @warriors not me slowing my scroll to watch the big game 👀,1532517711699267586,2022-06-03 00:21:09+00:00,Twitter for iPhone,12,0
25,what’s your fave self care ritual?,1532439823973089280,2022-06-02 19:11:40+00:00,Twitter Web App,142,15
26,"this #PrideMonth, we’re celebrating the vibrant, diverse and powerful community we’ve built together ❤️🧡💛💚💙💜… https://t.co/2a2oOSQSEX",1532121656549949442,2022-06-01 22:07:23+00:00,Sprinklr Publishing,320,52
27,"hey you
yes, YOU
you make the world a better place - don’t forget it ❤️ #MentalHealthAwarenessMonth",1531696212335796227,2022-05-31 17:56:49+00:00,Sprinklr Publishing,232,41
28,May on TikTok with no context #IYKYK https://t.co/YYOR4Tnwag,1531305181933015040,2022-05-30 16:03:00+00:00,Twitter Web App,193,15
29,"reminder: it’s ok to put your phone down
it’ll be there when you get back 🤗
#MentalHealthAwarenessMonth",1530576631038758913,2022-05-28 15:48:00+00:00,Twitter Web App,279,56
30,RT @Crunchyroll: 🎶 Sharp like an edge of a samurai sword... 🎶 Don't miss the FIRST Crunchyroll TikTok Watch Party with episodes of Samurai…,1529914396742275072,2022-05-26 19:56:31+00:00,Twitter Web App,0,68
31,"what’s one nice thing you can do for yourself today? 💆
#MentalHealthAwarenessMonth",1529157655235018752,2022-05-24 17:49:30+00:00,Sprinklr Publishing,151,16
32,today is a great day to put yourself 1️⃣st  #MentalHealthAwarenessMonth,1528058039156318212,2022-05-21 17:00:01+00:00,Sprinklr Publishing,248,37
33,"your younger self called, they said ur doing great 🤗",1527718670968819712,2022-05-20 18:31:29+00:00,Twitter Web App,749,98
34,if you need me i'll be on HarryTok at #HarrysHouse don't text,1527499354977746949,2022-05-20 04:00:00+00:00,Sprinklr Publishing,170,15
35,asking for help is an act of strength 💪 #MentalHealthAwarenessMonth,1527427058665541632,2022-05-19 23:12:43+00:00,Twitter Web App,229,36
36,these exciting new tools will be rolling out to all of you over the next few weeks 🙌 https://t.co/UVEZR1nE8N,1527029575267495939,2022-05-18 20:53:16+00:00,Twitter Web App,103,10
37,"Stretch 
Eat a snack
Light a candle
Feed your creativity 

Cuddle a pet
Ask for help 
Rest &amp; relax
Exercise
 #MentalHealthAwarenessMonth",1527007365119328260,2022-05-18 19:25:00+00:00,Sprinklr Publishing,159,25
38,"RT @TopGunMovie: TODAY LIVE on TikTok @ 11:30am ET/8:30am PT: Get ready with @JayREllis at the #TopGun: Maverick premiere at Cannes. 
Follo…",1526936229073367040,2022-05-18 14:42:20+00:00,Twitter Web App,0,37
39,take your scroll for a stroll 👟☀️ #MentalHealthAwarenessMonth,1526309264972816387,2022-05-16 21:11:00+00:00,Sprinklr Publishing,197,25
40,"if you’re reading this, you need a glass of water #MentalHealthAwarenessMonth",1525854266656796673,2022-05-15 15:03:00+00:00,Sprinklr Publishing,371,51
41,your phone’s not the only thing that needs a recharge 🔌  #MentalHealthAwarenessMonth,1525491122017009664,2022-05-14 15:00:00+00:00,Sprinklr Publishing,254,62
42,RT @Stranger_Things: the world premiere of #StrangerThings4 is in ONE DAY‼️ 🕰  and guess what? you're invited. the @tiktok_us livestream st…,1525245664439193600,2022-05-13 22:44:38+00:00,Twitter Web App,0,1378
43,"RT @BBMAs: Join us and your favorite @tiktok_us creators this Sunday as we reveal some #BBMAs winners ahead of the the big show!

Register…",1525169120718618624,2022-05-13 17:40:29+00:00,Twitter Web App,0,37
44,this is your sign to be kind to yourself #MentalHealthAwarenessMonth,1524512119953125376,2022-05-11 22:09:48+00:00,Twitter for iPhone,233,43
45,"RT @BBMAs: The #BBMAs and @tiktok_us are celebrating how fans can drive a sound to become a global hit. Head over to TikTok + search ""BBMAs…",1524087815998517249,2022-05-10 18:03:46+00:00,Twitter Web App,0,52
46,"🎥: zylerslife, littlesuburbanfarmhouse, moms_houserules, tova_leigh on TikTok",1523301718624436228,2022-05-08 14:00:05+00:00,Sprinklr Publishing,66,3
47,IYKYK but you couldn't possibly know unless you’re a mom 👼 #HappyMothersDay https://t.co/6YRbhRLyFd,1523301715209965569,2022-05-08 14:00:05+00:00,Sprinklr Publishing,156,11
48,let’s start a thread of all the things TikTok has taught you 🤯 ⬇️,1522638278532509698,2022-05-06 18:03:49+00:00,Sprinklr Publishing,508,25
49,we all have that designated “i’m gonna send you 20 TikToks a day” friend,1522260764190515200,2022-05-05 17:03:43+00:00,Sprinklr Publishing,527,37
50,@Variety her dress is an endless scroll &amp; i am here for it,1521261773453611008,2022-05-02 22:54:05+00:00,Twitter Web App,49,1
51,API creators make TikTok shine ⭐️ happy #APIHeritageMonth 🎉 #APIFamily https://t.co/UydIciTrwb,1520780970974236673,2022-05-01 15:03:32+00:00,Sprinklr Publishing,286,46
52,show me the best TikTok,1520433295019945986,2022-04-30 16:02:00+00:00,Sprinklr Publishing,669,55
53,April on TikTok with no context https://t.co/IVA4se3qWa,1520163701076094976,2022-04-29 22:10:44+00:00,Twitter Web App,236,8
54,some days are for scrolling some days are for posting all days are for sharing,1519803421167132673,2022-04-28 22:19:06+00:00,Sprinklr Publishing,322,36
55,The future of food is now. Join @TikTokForGood for our #EarthDay LIVE with foodies @ollie_eats and @missohlaura 🌱🥩… https://t.co/wD12cHjDmE,1517518738949648384,2022-04-22 15:00:36+00:00,Sprinklr Publishing,139,30
56,"how will u make ur voice heard this #EarthDay? search these hashtags on TikTok to get involved:

Climate ⛅️🌲… https://t.co/k9HJbvjgEa",1517184152369565703,2022-04-21 16:51:04+00:00,Sprinklr Publishing,103,25
57,besties won a #GRAMMY and i’m so proud 💖 https://t.co/XRpd2rjgjX,1516809030618042372,2022-04-20 16:00:28+00:00,Sprinklr Publishing,169,24
58,"RT @Discovery: Who's ready to ride? 🌊🌅

Join us and @tiktok_us for a roarin' white water rafting adventure today at 7P ET/4P PT! 

Register…",1514310411943923715,2022-04-13 18:31:51+00:00,Twitter Web App,0,14
59,"“For You, Paige,” the first musical made for TikTok by TikTok creators, is coming to Broadway and TikTok LIVE. Grab… https://t.co/oi7vBudTru",1514000613847314434,2022-04-12 22:00:49+00:00,Sprinklr Publishing,166,33
60,make your next effect at https://t.co/qWnUh6CMOI,1513965773579976708,2022-04-12 19:42:23+00:00,Twitter Web App,45,3
61,Now anyone can create vibrant effects for TikTok. Welcome to Effect House #EffectHouse https://t.co/nHzxC3T5Cu,1513841966701858819,2022-04-12 11:30:25+00:00,Sprinklr Publishing,250,48
62,today is https://t.co/0NBz4QK4Pf,1512485361892552710,2022-04-08 17:39:45+00:00,Twitter Web App,334,42
63,Dropping gems on the #GRAMMYs red carpet like 🖐️🎤 https://t.co/Anjrzyg5rk,1512240991155200000,2022-04-08 01:28:43+00:00,Sprinklr Publishing,154,19
64,.@JackHarlow called me the GOAT app 🐐 just sayin’ https://t.co/Bbn5lnEGSe,1512219849967259650,2022-04-08 00:04:42+00:00,Sprinklr Publishing,152,14
65,@IvyKungu 💅,1511866071590055936,2022-04-07 00:38:55+00:00,Twitter Web App,30,0
66,@Camila_Cabello everything about this is chefs kiss 😍,1511503471530307584,2022-04-06 00:38:04+00:00,Twitter Web App,816,125
67,"RT @Camila_Cabello: And did you get the space you needed ? 

Familia @tiktok_us Live Concert on Thursday at 4pm PST/ 7pm EST https://t.co/i…",1511502692622905345,2022-04-06 00:34:58+00:00,Twitter Web App,0,3178
68,RT @Camila_Cabello: register for the familia @tiktok_us live concert thursday at 4pm PST/ 7pm EST 🫀 https://t.co/iHRMP0N1Xg https://t.co/Ud…,1511486447965990913,2022-04-05 23:30:25+00:00,Twitter Web App,0,2968
69,@Camila_Cabello these visuals😍😍😍,1511486142717186056,2022-04-05 23:29:13+00:00,Twitter Web App,204,40
70,Congrats to @abigailbarloww and @mlebear for winning a #Grammy for The #BridgertonMusical 🎉 maybe a musical sequel… https://t.co/7x3r7J44aq,1511151378206392322,2022-04-05 01:18:59+00:00,Twitter Web App,271,27
71,"RT @nbc: The #AmericanSongContest winner is up to you! 🇺🇸

Cast your vote:
✅ @TikTok_US: https://t.co/5ySOaEpLZS
✅ https://t.co/FRyQW6zmQO…",1511123014427058179,2022-04-04 23:26:16+00:00,Twitter Web App,0,10
72,waiting for @jackharlow's new single. here's some love in the meantime. #GRAMMYs https://t.co/5UAjw61na0,1511117825041059844,2022-04-04 23:05:39+00:00,Twitter Web App,116,8
73,"RT @MTVPopstar: ⭐️Join us LIVE on @mtv's TikTok! ⭐️

Hosted by @BruOnTheRadio with special guest @iambeckyg, we'll announce the winner of t…",1509642966452776966,2022-03-31 21:25:05+00:00,Twitter for iPhone,0,64
74,"RT @TikTokComms: To support those in need, TikTok has committed $5 million along with matching employee donations to @uncerf, @unicef, @ref…",1504916143550570496,2022-03-18 20:22:23+00:00,Twitter for iPhone,0,51
75,RT @TikTokComms: 1/ We encourage our community to think carefully about content posted online. Here are some digital literacy tools to help…,1504904228531159040,2022-03-18 19:35:02+00:00,Twitter Web App,0,35
76,RT @TikTokComms: 1/ TikTok is an outlet for creativity and entertainment that can provide a source of relief and human connection during a…,1500556499252178945,2022-03-06 19:38:43+00:00,Twitter for iPhone,0,506
77,RT @TikTokComms: 1/ We're working diligently and aggressively to support and protect the safety of our TikTok community as the war in Ukrai…,1499894333733888004,2022-03-04 23:47:30+00:00,Twitter for iPhone,0,66
78,"@TikTokSports okay i like it, Picasso 👏🎶",1496623652644737027,2022-02-23 23:10:59+00:00,Twitter Web App,10,1
79,RT @TikTokSports: Hey hockey fans 👋 We're so excited to announce that we're teaming up with the @NHL @NHLPA to bring fans closer to the act…,1496575067735703562,2022-02-23 19:57:55+00:00,Twitter Web App,0,39
80,"RT @iHeartRadio: Tonight we are paying homage to the creators, artists, actors and black leaders who are shaping the culture during the iHe…",1496560946462216192,2022-02-23 19:01:49+00:00,Twitter Web App,0,41
81,RT @iHeartRadio: We're paying homage to Black culture with some EPIC performances and ICONIC appearances as we celebrate the Black experien…,1496272871429230592,2022-02-22 23:57:06+00:00,Twitter Web App,0,14
82,happy 2.22.22 2u,1496169134639714304,2022-02-22 17:04:53+00:00,Twitter Web App,1257,129
83,@aimseytwo I'D NEVER LEAVE THE CONVERSATION :D,1495857229689503749,2022-02-21 20:25:29+00:00,Twitter Web App,51,0
84,"RT @iHeartRadio: ""To The Black Community, I Love You, Stay Strong, We Got This"" - @BigSean. Watch Big Sean perform at the iHeartRadio Livin…",1495855546381090818,2022-02-21 20:18:48+00:00,Twitter Web App,0,31
85,"happy monday friends, especially those who spent the weekend teaching grandma how to duet",1495812313026285578,2022-02-21 17:27:00+00:00,Sprinklr Publishing,258,18
86,giving your dog a human name only just to call them https://t.co/33tMFc5lCW,1495475591482593285,2022-02-20 19:09:00+00:00,Twitter Web App,367,21
87,"fresh pack of cards. what r you playing

like for go fish, RT for poker, reply for spades https://t.co/zDFliFFt1L",1495098365301993478,2022-02-19 18:10:02+00:00,Sprinklr Publishing,131,16
88,this week on TikTok with no context https://t.co/9lYfdVzssL,1494832238436909064,2022-02-19 00:32:32+00:00,Twitter Web App,290,13
89,"@JimmyKimmelLive i'm not crying YOU'RE crying 
*adds to playlist*",1494798813495660545,2022-02-18 22:19:43+00:00,Twitter Web App,4,1
90,RT @NeYoCompound: Come kick it with me on @tiktok_us TOMORROW @ 5 PT/8 ET to ask some questions and maybe hear some new joints I’m cookin u…,1494742271677263874,2022-02-18 18:35:03+00:00,Twitter Web App,0,14
91,"u say it’s #RandomActsofKindnessDay

all i hear is share baby animals with everyone in my contact list https://t.co/YSpE9WezCG",1494432710340722699,2022-02-17 22:04:58+00:00,Twitter Web App,175,21
92,@chartdata #1 in 2010 AND 2022 🥰,1494410791532982272,2022-02-17 20:37:52+00:00,Twitter Web App,440,9
93,"if im in the bathroom for too long just mind your business, im on take 23 of this TikTok",1494392958895992845,2022-02-17 19:27:00+00:00,Sprinklr Publishing,359,19
94,@Laura_Messi fr though 🥵,1494147416869662723,2022-02-17 03:11:18+00:00,Twitter Web App,4,1
95,anyone else run to TikTok every time they have to cook? just me??,1494122678206320641,2022-02-17 01:33:00+00:00,Sprinklr Publishing,384,22
96,"if you have a Valentine’s date this year, this tweet is for you:
where’d you get that? do you have the link?",1493367703263920129,2022-02-14 23:33:00+00:00,Sprinklr Publishing,267,23
97,gorgeous girls are committed to staying single and working on themselves &lt;3,1493277862215962627,2022-02-14 17:36:00+00:00,Sprinklr Publishing,568,63
98,@TikTokSports @jongraz Noodle never fails,1493059853882847239,2022-02-14 03:09:43+00:00,Twitter for iPhone,3,0
99,RT @TikTokSports: it’s a bones day! Noodle the Pug predicted the super bowl!! Noodle saw it all!! (cc @jongraz) https://t.co/XsNbrPAiLG,1493059324087734272,2022-02-14 03:07:37+00:00,Twitter for iPhone,0,11
100,two things have this app in a chokehold rn https://t.co/CbkhUXGzO1,1493057413674672129,2022-02-14 03:00:01+00:00,Sprinklr Publishing,159,14
101,"RT @TikTokSports: …and some say the ice never left his veins…
#joebrrr #SuperBowl @Bengals https://t.co/VRucMrJZXW",1493036492645564416,2022-02-14 01:36:53+00:00,Twitter for iPhone,0,11
102,RT @TikTokSports: Thinking about this sweet @obj video ❤️❤️ #SuperBowl https://t.co/oQKhOhPzBC,1493027153365008384,2022-02-14 00:59:47+00:00,Twitter for iPhone,0,8
103,might actually watch the halftime show with this lineup??? 👀 #SuperBowlLVI,1493023434967764995,2022-02-14 00:45:00+00:00,Sprinklr Publishing,162,13
104,1 timeout = perfect amount of time to watch a TikTok,1493010851992899588,2022-02-13 23:55:00+00:00,Sprinklr Publishing,335,24
105,"RT @NFL: That was epic. 🔥 @tiktok_us 

#TikTokTailgate x @TheChainsmokers. #SuperBowl https://t.co/CbIyJ20Ak4",1492976426156544007,2022-02-13 21:38:12+00:00,Twitter Web App,0,89
106,sweetie dont bring food to a football watch party. ur already a snack,1492924535183753224,2022-02-13 18:12:01+00:00,Sprinklr Publishing,279,23
107,"RT @TikTokSports: it’s the @RamsNFL vs. @Bengals, but who would win the #SuperBowl based ONLY on their TikToks, a thread 🪡🏈",1492590470702141441,2022-02-12 20:04:33+00:00,Twitter for iPhone,0,9
108,this week on TikTok with no context https://t.co/xVdOelPXrq,1492255887154548746,2022-02-11 21:55:02+00:00,Twitter Web App,229,14
109,ABCDEF u should turn your mic on,1492195983685521411,2022-02-11 17:57:00+00:00,Sprinklr Publishing,437,23
110,@NFL icons ✨,1491898872649580562,2022-02-10 22:16:24+00:00,Twitter Web App,8,1
111,"RT @NFL: All this talent in one stream?! #TikTokTailgate is going to be MASSIVE 🔥

The pregame party starts at 2:55pm ET on Super Bowl Sund…",1491898016600522772,2022-02-10 22:12:59+00:00,Twitter Web App,0,28
112,omw 🚗 💨 https://t.co/lNcAIoiSJZ,1491859801197801472,2022-02-10 19:41:08+00:00,Twitter Web App,151,9
113,"u cant sing on this bird app, but you can write. so complete the verse: 

I think we could work it out
so what are… https://t.co/6qkrjkDLYv",1491528737984159744,2022-02-09 21:45:37+00:00,Twitter Web App,136,9
114,@AmyTrask @NFL and yet here we are,1491453190285697026,2022-02-09 16:45:25+00:00,Twitter Web App,9,0
115,RT @TikTokComms: This #SaferInternetDay we want our community to be #SaferTogether. That's why we're launching a dedicated in-app hub on ou…,1491185440430657536,2022-02-08 23:01:28+00:00,Twitter Web App,0,13
116,RT @TikTokComms: Happy #SaferInternetDay! Today we're announcing updates to our Community Guidelines to further support the well-being of o…,1491181644098994180,2022-02-08 22:46:23+00:00,Twitter Web App,0,23
117,"RT @peacockTV: If you made plans tonight, reschedule! @Jlo and @Maluma are going LIVE on our TikTok at 9pm ET/6pm PT for a @MarryMeMovie co…",1491132739827175429,2022-02-08 19:32:03+00:00,Twitter Web App,0,120
118,@NFL @TheChainsmokers year✌️lets goooo 🔥,1491106288209592322,2022-02-08 17:46:57+00:00,Twitter Web App,8,1
119,"RT @NFL: TikTok Tailgate is back for Year ✌️

Kick off Super Bowl Sunday with @TheChainsmokers and some of your favorite creators LIVE on N…",1491096536704782337,2022-02-08 17:08:12+00:00,Twitter Web App,0,52
120,"Join us LIVE with @thechainsmokers &amp; super special guests at the TikTok Tailgate. 
2/13 2:55pm ET / 11:55am PT 🏈🏈… https://t.co/llY4QIT4nP",1491095790038786058,2022-02-08 17:05:14+00:00,Sprinklr Publishing,157,20
121,@TheChainsmokers @NFL see you there 👊,1491095636971687936,2022-02-08 17:04:37+00:00,Twitter Web App,10,0
122,RT @TheChainsmokers: Bringing together the worlds two favorite things TikTok and Tailgating! Catch us LIVE on @tiktok_us at 2:55pm ET on Su…,1491095190463193088,2022-02-08 17:02:51+00:00,Twitter Web App,0,102
123,"RT @TikTokSports: Solid football ⚽️ coming out of #AFCON2021 
Next up: another kind of football 🏈 #SuperBowl2022",1490810600947019778,2022-02-07 22:11:59+00:00,Twitter Web App,0,3
124,who’s the first person you think of when you see this https://t.co/xMfU0w6Q7n,1490015617369485315,2022-02-05 17:33:00+00:00,Sprinklr Publishing,278,15
125,RT @AnimatedFelle: This was a truly blessed opportunity and I’m cheesing uncontrollably,1489751580672888832,2022-02-05 00:03:49+00:00,Twitter Web App,0,6
126,"RT @beatsbydre: For @tiktok_us's Black History Month series, come learn how @AnimatedFelle makes his animations. 

Tune in today at 8pm ET…",1489721939975290883,2022-02-04 22:06:02+00:00,Twitter Web App,0,9
127,"RT @tiktokcreators: Black History Month is here, and we’re celebrating the industry-defining, pioneering, and trendsetting creators that ma…",1489350505897758721,2022-02-03 21:30:06+00:00,Twitter Web App,0,18
128,"every year i forget this holiday exists. happy groundhog appreciation day 

🎥: @prairiechuck1on TikTok https://t.co/BbHsMgOWY0",1488923165816504334,2022-02-02 17:12:00+00:00,Twitter Media Studio,180,15
129,a date on Valentine’s &lt; 🧧🧧🧧 #LunarNewYear,1488664212545196034,2022-02-02 00:03:00+00:00,Sprinklr Publishing,180,12
130,"Black is now 👏
#BlackTikTok is now 👏 
#BlackHistoryMonth is NOW 👏 https://t.co/teKETJj29U",1488612459342614532,2022-02-01 20:37:22+00:00,Sprinklr Publishing,335,66
131,*whisper* ᴮᶦⁿᵍ ᵇᵒⁿᵍ https://t.co/EZ3Pacv0qN,1487937203044978688,2022-01-30 23:54:08+00:00,Twitter for iPhone,113,5
132,can’t spell brother without bother 🤷 https://t.co/VTDKPj0x6w,1487481923555500034,2022-01-29 17:45:01+00:00,Sprinklr Publishing,280,19
133,mood https://t.co/qnvycjZVFL,1487228863084052483,2022-01-29 00:59:26+00:00,Twitter Web App,188,13
134,@SeniormanOA sending you all some love for the weekend,1487199314220761088,2022-01-28 23:02:01+00:00,Twitter Web App,1,0
135,"RT @SeniormanOA: If i send you a tiktok, a tweet or a funny meme. 

It means i have you in mind and I want something that made me happy to…",1487199245450899457,2022-01-28 23:01:45+00:00,Twitter Web App,0,2783
136,"LIKE if you would have dated your current S.O. in hs

RT if there was absolutely no chance",1487110471530401798,2022-01-28 17:09:00+00:00,Twitter Web App,179,17
137,@SshineChic you needed to hear this ❤️ https://t.co/uoCwdGfI4Z https://t.co/7VYLHhQlNe,1486848340234960897,2022-01-27 23:47:23+00:00,Twitter Web App,12,3
138,@thetwolauras you are the moment https://t.co/Xp6obZ6zLN https://t.co/gBqiddDL4p,1486846646180884489,2022-01-27 23:40:39+00:00,Twitter Web App,11,0
139,@Memeilon https://t.co/OrpUWRUfO2 https://t.co/P6SkfaCob5,1486846115320193025,2022-01-27 23:38:32+00:00,Twitter Web App,27,5
140,@RodriguezJavvad listen it’s a great idea https://t.co/A7LAnOPjZt https://t.co/qb2dLJUkQ5,1486845664306753536,2022-01-27 23:36:45+00:00,Twitter Web App,7,0
141,@candacelynnxo i know you’d cry if this happened https://t.co/duohT6neF7 https://t.co/8UJ01wLZOD,1486843355568869383,2022-01-27 23:27:34+00:00,Twitter Web App,17,0
142,@JustNajNatalia i vote “do nothing all day” https://t.co/fV2Vp2nRCt https://t.co/vO46i63ReZ,1486842738708402176,2022-01-27 23:25:07+00:00,Twitter Web App,6,0
143,@dancer2723 just let me in ❤️ https://t.co/euxEwB0dNL https://t.co/saWMn9mVlh,1486840236948660229,2022-01-27 23:15:11+00:00,Twitter Web App,12,0
144,@hootsuite your honesty is always showing https://t.co/9KmRcHwHZs https://t.co/0ILquiTBQk,1486836334614376457,2022-01-27 22:59:40+00:00,Twitter Web App,11,1
145,@oncescuradu take notes 📝 https://t.co/r22QxOefTp https://t.co/wA8ED36H0m,1486832699830509571,2022-01-27 22:45:14+00:00,Twitter Web App,12,2
146,@itsnorayareli probs watching this while in bed https://t.co/LArGdVPASf https://t.co/CwAx1yQb9G,1486832435782291458,2022-01-27 22:44:11+00:00,Twitter Web App,10,3
147,"@TheHushPup you’re just living, laughing and loving https://t.co/SPrkBny7ln https://t.co/LeDLucIXgq",1486831488721031169,2022-01-27 22:40:25+00:00,Twitter Web App,16,0
148,@ByronEliazim 🔑☯️🤥  https://t.co/znuxEeVZx9 https://t.co/J0mRIpno7M,1486828408654815232,2022-01-27 22:28:11+00:00,Twitter Web App,5,1
149,@MelindaPeacock1 comedian or sag? https://t.co/HXti6UVsuP https://t.co/aIKjW1RVTP,1486827516450926595,2022-01-27 22:24:38+00:00,Twitter Web App,24,2
150,@blahova10 surprised you're sitting still rn https://t.co/oM4NhHA5NR https://t.co/Y6gFpVWxLG,1486826491237199872,2022-01-27 22:20:34+00:00,Twitter Web App,17,1
151,@NathanDavisJr https://t.co/m2P52NNzPa https://t.co/4vlhtfDDel,1486825896853999617,2022-01-27 22:18:12+00:00,Twitter Web App,2,0
152,@lainey23953465 rebel my Aquarius rebeeeellll https://t.co/Bnq76xEaEf https://t.co/zFZbStlvw8,1486824491791499265,2022-01-27 22:12:37+00:00,Twitter Web App,14,2
153,@PoppinAurora https://t.co/i3m9VGwRzR https://t.co/z0ZfzWRiTj,1486819608161972229,2022-01-27 21:53:13+00:00,Twitter Web App,8,0
154,@MattNavarra passive aggression is ur passion 💁 https://t.co/twv5jokXVt https://t.co/n2BxAVSaeY,1486819196138704897,2022-01-27 21:51:34+00:00,Twitter Web App,40,4
155,@alastrous stay strong ❤️ https://t.co/Fm44rhEWWA https://t.co/7G8XyNLo8A,1486818070379126787,2022-01-27 21:47:06+00:00,Twitter Web App,23,2
156,@huydatpham1 u are the ✨ drama ✨ https://t.co/npBpFc3Meq https://t.co/xLSUjqmVqO,1486817585047867392,2022-01-27 21:45:10+00:00,Twitter Web App,30,1
157,tell me your sign and ill reply with a TikTok that best describes your energy,1486813768390791174,2022-01-27 21:30:00+00:00,Twitter Web App,858,45
158,"kind of amazing we're all finding each other in ""Lost"" by Frank Ocean",1486133843308396546,2022-01-26 00:28:13+00:00,Twitter Web App,344,22
159,RT @HERMusicx: A special night is happening February 23rd. Join me at @iHeartRadio’s Living Black! Empowered by AT&amp;T LIVE on TikTok. #iHear…,1485744966525599745,2022-01-24 22:42:58+00:00,Twitter Web App,0,60
160,RT @iHeartRadio: Our iHeartRadio Living Black! Empowered by @ATT will be happening LIVE on TikTok February 23rd. It will be a celebration o…,1485689553985806338,2022-01-24 19:02:47+00:00,Twitter Web App,0,43
161,encanto gang stop singing and dancing for one sec and tell us your gift ✨,1485664389264928769,2022-01-24 17:22:47+00:00,Twitter Web App,102,7
162,@NBCSWarriors patiently waiting for the TikTok debut 👀,1484334668228927492,2022-01-21 01:18:57+00:00,Twitter Web App,5,0
163,favorite part of TikTok:,1484227355627253762,2022-01-20 18:12:31+00:00,Twitter Web App,278,30
